WMS — Relatório de Período
Período,05/06/2026 até 05/06/2026
Gerado em,05/06/2026 09:49:15
Unidade,MASTER

RESUMO
Pedidos cadastrados no período,6
Pedidos retirados no período,3
Pedidos ativos no fechamento,556

=== A. CADASTRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,DATA PEDIDO,CADASTRADO EM,CADASTRADO POR,SETOR
10116681,01873,P-02-03,01/06/2026 14:30:30,3,AR
10117072,02753,P-02-03,01/06/2026 14:30:48,3,AR
10113646,02232,P-02-03,01/06/2026 14:31:00,3,AR
10113787,02299,P-02-03,01/06/2026 15:03:17,3,AR
10115803,01413,P-01-06,01/06/2026 15:34:47,3,AR
10117934,00355,P-01-06,01/06/2026 15:41:50,3,AR
10115830,20048,P-01-05,01/06/2026 15:48:05,3,AR
10115051,01504,P-01-04,01/06/2026 16:13:05,3,AR
10117829,02695,P-01-03,01/06/2026 16:32:25,3,AR
10114832,01877,P-01-04,01/06/2026 16:40:01,3,AR
10113732,01396,P-01-04,01/06/2026 16:40:40,3,AR
10117756,02726,P-01-03,01/06/2026 16:40:46,3,AR
10115677,02732,P-01-03,01/06/2026 16:46:47,3,AR
10117748,20008,P-01-03,01/06/2026 16:47:07,3,AR
10117753,02347,P-01-03,01/06/2026 16:47:23,3,AR
10116437,20039,P-01-03,01/06/2026 16:47:46,3,AR
10117403,01471,P-01-01,01/06/2026 16:48:55,3,AR
10113235,305,P-01-01,01/06/2026 16:49:14,3,AR
10116864,02906,P-01-01,01/06/2026 17:06:58,3,AR
10117837,01445,P-01-01,01/06/2026 17:07:16,3,AR
10116920,01326,P-01-01,01/06/2026 17:07:30,3,AR
10117610,1500,P-02-06,01/06/2026 17:08:23,3,AR
10116903,82,P-02-06,01/06/2026 17:08:35,3,AR
10117423,20112,P-02-06,01/06/2026 17:08:46,3,AR
10116441,01861,P-02-05,01/06/2026 17:09:21,3,AR
10116462,02755,P-02-05,01/06/2026 17:09:31,3,AR
10117452,02901,P-02-04,01/06/2026 17:20:59,3,AR
10117377,01317,P-02-03,01/06/2026 17:21:18,3,AR
10116911,01517,P-02-03,01/06/2026 17:22:06,3,AR
10113238,02279,P-02-02,01/06/2026 17:22:18,3,AR
10117091,01538,P-02-02,01/06/2026 17:22:45,3,AR
10110020,2529,P-02-02,01/06/2026 17:23:06,3,AR
10117896,00306,P-02-02,01/06/2026 17:23:37,3,AR
10117862,00098,P-02-02,01/06/2026 22:21:26,3,AR
10116294,01485,P-02-02,01/06/2026 22:21:40,3,AR
10117844,02280,P-02-02,01/06/2026 22:21:54,3,AR
10118017,20036,P-02-02,01/06/2026 22:22:18,3,AR
10117892,02277,P-02-02,01/06/2026 22:22:32,3,AR
10117970,02566,P-02-02,01/06/2026 22:22:51,3,AR
10112149,01312,P-02-02,01/06/2026 22:23:13,3,AR
10113546,01539,P-02-02,01/06/2026 22:23:28,3,AR
10117574,02284,P-02-02,01/06/2026 22:23:44,3,AR
10117838,01469,P-02-02,01/06/2026 22:24:02,3,AR
10118039,01936,P-02-02,01/06/2026 22:24:18,3,AR
10118029,01420,P-02-02,01/06/2026 22:25:04,3,AR
10117907,20169,P-02-01,01/06/2026 22:25:17,3,AR
10117213,00446,P-02-01,01/06/2026 22:25:35,3,AR
10118595,02089,P-02-01,01/06/2026 22:33:03,3,AR
10117058,02713,P-02-01,01/06/2026 22:33:19,3,AR
10116679,00018,P-02-01,01/06/2026 22:34:29,3,AR
10117029,2611,P-02-01,01/06/2026 22:34:57,3,AR
10117193,02290,P-02-01,01/06/2026 22:35:16,3,AR
10117307,01441,P-02-01,01/06/2026 22:35:31,3,AR
10116579,01906,P-02-01,01/06/2026 22:35:45,3,AR
10117421,20021,P-02-01,01/06/2026 22:36:12,3,AR
10117303,2545,P-02-01,01/06/2026 22:36:31,3,AR
10117930,02015,P-02-01,01/06/2026 22:37:03,3,AR
10116314,01273,P-02-01,01/06/2026 22:37:17,3,AR
10117603,02329,P-02-01,01/06/2026 22:37:32,3,AR
10117845,02905,P-02-01,01/06/2026 22:37:46,3,AR
10116320,01887,P-02-01,01/06/2026 22:38:16,3,AR
10116466,02302,P-02-01,01/06/2026 22:38:32,3,AR
10116768,2518,P-03-06,01/06/2026 22:38:47,3,AR
10117999,02396,P-01-06,02/06/2026 09:47:18,3,AR
10112940,02884,P-01-06,02/06/2026 09:47:39,3,AR
10118232,00495,P-01-06,02/06/2026 09:48:38,3,AR
10117921,02369,P-03-06,02/06/2026 09:49:33,2,AR
10117607,01275,P-03-06,02/06/2026 09:49:55,2,AR
10117190,02674,P-03-06,02/06/2026 09:50:28,2,AR
10113553,02682,P-03-06,02/06/2026 09:50:46,2,AR
10117552,02377,P-03-06,02/06/2026 09:51:00,2,AR
10117039,2649,P-03-06,02/06/2026 09:51:40,2,AR
10116505,47,P-03-06,02/06/2026 09:52:11,2,AR
10116919,1332,P-03-06,02/06/2026 09:52:47,2,AR
10113715,01458,P-03-06,02/06/2026 09:53:04,2,AR
10117793,01436,P-03-06,02/06/2026 13:23:22,2,AR
10118510,20105,P-03-06,02/06/2026 13:23:37,2,AR
10118476,01489,P-03-06,02/06/2026 13:23:52,2,AR
10118461,0065,P-03-06,02/06/2026 13:24:19,2,AR
10118198,0081,P-03-06,02/06/2026 13:24:48,2,AR
10118272,20119,P-03-06,02/06/2026 13:25:06,2,AR
10118472,01409,P-03-06,02/06/2026 13:25:15,2,AR
10118201,01364,P-03-06,02/06/2026 13:25:39,2,AR
10117786,20116,P-03-06,02/06/2026 13:25:55,2,AR
10117443,02043,P-03-05,02/06/2026 13:26:10,2,AR
10118521,01882,P-03-05,02/06/2026 13:26:24,2,AR
10118486,00056,P-03-05,02/06/2026 14:17:57,2,AR
10118522,20030,P-03-05,02/06/2026 14:18:32,2,AR
10118042,02286,P-03-05,02/06/2026 14:18:57,2,AR
10118692,02123,P-03-05,02/06/2026 14:19:13,2,AR
10117166,02360,P-03-05,02/06/2026 14:19:29,2,AR
10118526,2584,P-03-03,02/06/2026 14:19:50,2,AR
10117865,20032,P-03-03,02/06/2026 14:20:14,2,AR
10117613,02362,P-03-03,02/06/2026 14:20:32,2,AR
10117967,2565,P-03-03,02/06/2026 14:20:59,2,AR
10118054,01549,P-03-03,02/06/2026 14:21:24,2,AR
10117842,01398,P-03-03,02/06/2026 14:22:30,2,AR
10117805,02685,P-03-03,02/06/2026 14:23:05,2,AR
10118061,0259,P-03-03,02/06/2026 14:23:54,2,AR
